city name,lat,lon,temp,humidity,cloudiness,wind speed
murgab,37.4966,61.9714,292.08,15,clear sky,1.25
almeirim,-1.5233,-52.5817,296.25,97,overcast clouds,0.39
saint anthony,45.0205,-93.218,293.61,85,overcast clouds,1.79
rio grande,-32.035,-52.0986,285.26,76,clear sky,2.63
nhulunbuy,-12.2333,136.7667,302.49,74,scattered clouds,5.14
tahe,52.3333,124.7333,284.84,38,clear sky,1.48
marsa matruh,31.3525,27.2453,290.26,51,clear sky,1.03
wang saphung,17.301,101.7685,303.01,62,few clouds,1.4
ganzhou,28.8184,115.4327,291.16,99,light rain,1.16
kirakira,-10.4544,161.9205,302.34,76,broken clouds,5.6
mandalgovi,45.7625,106.2708,290.05,27,scattered clouds,7.81
coxim,-18.5067,-54.76,296.89,33,clear sky,1.71
novikovo,51.1537,37.8879,285.32,95,clear sky,2.79
mogadishu,2.0371,45.3438,299.44,87,overcast clouds,6.86
senno,59.5336,33.9167,290.03,80,clear sky,4.58
dhidhdhoo,6.8833,73.1,301.68,76,broken clouds,7.93
le moule,16.3332,-61.3473,300.17,77,scattered clouds,5.19
hobyo,5.3505,48.5268,299.81,77,few clouds,11.13
chulman,56.8479,124.9104,275.87,31,scattered clouds,2.12
saskylakh,71.9167,114.0833,272.3,94,overcast clouds,6.43
jiuquan,39.7432,98.5174,291.21,24,clear sky,7.46
neuquen,-38.9516,-68.0591,284.09,93,clear sky,1.03
mancio lima,-7.6142,-72.8958,295.76,98,overcast clouds,0.36
shimoda,34.6667,138.95,293.8,98,overcast clouds,2.68
davidson,36.1501,-86.7833,296.31,58,overcast clouds,4.12
faya,18.3851,42.4509,292.44,29,scattered clouds,1.37
bad driburg,51.7333,9.0167,280.54,93,scattered clouds,1.82
cairns,-16.9167,145.7667,300.99,69,scattered clouds,6.69
